sex,hormone,plasma,group,logplasma
1,1,16.5,1,121.748394421391
1,1,18.4,1,126.481782300954
1,1,12.7,1,110.380372095596
1,1,14,1,114.612803567824
1,1,12.8,1,110.720996964787
2,1,14.5,2,116.136800223497
2,1,11,2,104.139268515823
2,1,10.8,2,103.342375548695
2,1,14.3,2,115.533603746506
2,1,10,2,100
1,2,31.9,3,150.379068305718
1,2,26.2,3,141.830129131975
1,2,21.3,3,132.837960343874
1,2,35.8,3,155.388302664387
1,2,40.2,3,160.422605308447
2,2,32,4,150.514997831991
2,2,23.8,4,137.657695705651
2,2,28.8,4,145.939248775923
2,2,25,4,139.794000867204
2,2,29.3,4,146.686762035411
