"Demand","WorkDay","Temperature"
174.896295326,"Other",26
188.590934892,"WorkDay",23
188.91689062,"WorkDay",22.2
173.814244214,"Other",20.3
169.515174872,"Other",26.1
195.728794834,"WorkDay",19.6
199.902887696,"WorkDay",20
205.337529316,"WorkDay",27.4
228.07820422,"WorkDay",32.4
258.598386836,"WorkDay",34
201.797008908,"Other",22.4
187.629785594,"Other",22.5
254.663606842,"WorkDay",30
322.232255032,"WorkDay",42.4
343.993353528,"WorkDay",41.5
347.637557646,"WorkDay",43.2
332.945502716,"WorkDay",43.1
219.751693702,"Other",23.7
186.981555158,"Other",22.3
228.487553532,"WorkDay",24
222.36502675,"WorkDay",23.1
220.466929546,"WorkDay",23.3
240.580637894,"WorkDay",29.6
224.665187786,"WorkDay",22.1
181.149785498,"Other",20.3
182.223086342,"Other",27
230.222630786,"Other",34.5
309.374424338,"WorkDay",41.4
243.223913258,"WorkDay",24.5
258.389551002,"WorkDay",29.2
259.305270078,"WorkDay",26.8
241.31848797,"Other",29.2
264.505049836,"Other",38.6
264.955610774,"WorkDay",33.9
221.680710242,"WorkDay",25.7
237.149770986,"WorkDay",30.5
276.413439262,"WorkDay",35.1
283.315457006,"WorkDay",35.6
272.508421892,"Other",40
243.629811052,"Other",39.5
223.084473768,"WorkDay",24.7
238.787088348,"WorkDay",26.2
252.236563172,"WorkDay",26.9
250.903040492,"WorkDay",26.6
242.455765938,"WorkDay",26.6
214.2725871,"Other",28.7
175.293506572,"Other",23
216.41037534,"WorkDay",25.3
232.637631876,"WorkDay",30.2
222.362212674,"WorkDay",25.4
210.203074572,"WorkDay",20.3
211.63697823,"WorkDay",20.4
186.799502978,"Other",19.6
178.232233994,"Other",22.9
221.685421236,"WorkDay",24.3
237.559519164,"WorkDay",32.7
220.509299024,"WorkDay",21.8
216.788000444,"WorkDay",21.5
214.887519558,"WorkDay",23.5
193.53879341,"Other",23.1
183.354964932,"Other",22.3
228.382493082,"WorkDay",25
255.374052196,"WorkDay",33.3
233.962163338,"WorkDay",25.6
216.470282328,"WorkDay",20.8
215.960731656,"WorkDay",22.5
194.569924848,"Other",27.8
200.780368924,"Other",32.7
213.91601553,"Other",32.1
240.581826218,"WorkDay",31.1
220.376579918,"WorkDay",21.8
219.122627882,"WorkDay",22.7
223.930963028,"WorkDay",26.2
191.977954408,"Other",29.1
172.960154572,"Other",20.3
212.669337542,"WorkDay",24.7
216.799245608,"WorkDay",24.1
215.956212578,"WorkDay",22.2
226.828705024,"WorkDay",30.7
221.975617464,"WorkDay",22.9
186.249094462,"Other",19.4
179.274619262,"Other",18.7
213.566742194,"WorkDay",18.8
214.613345464,"WorkDay",24.4
217.41287881,"WorkDay",26.9
221.790532056,"WorkDay",25.3
214.881351502,"WorkDay",21.5
185.212055566,"Other",23.6
181.795096428,"Other",25.9
230.663662492,"WorkDay",30.1
253.290102574,"WorkDay",32.9
235.528924916,"WorkDay",26
222.700405572,"WorkDay",18.2
218.932024318,"WorkDay",19.7
192.15175974,"Other",24.1
182.59510412,"Other",24.3
218.474476344,"WorkDay",24.5
226.201756238,"WorkDay",22
225.599344182,"WorkDay",17.8
223.880770978,"WorkDay",18.9
220.39874308,"WorkDay",18.9
189.730219148,"Other",22.4
180.797405356,"Other",21.5
212.901439274,"WorkDay",20.7
216.103419866,"WorkDay",21.1
218.360304206,"WorkDay",21.6
215.11368572,"WorkDay",24.3
177.747405774,"Other",18.8
183.793998112,"Other",17.3
178.949754048,"Other",18.3
181.331985508,"Other",18.1
219.845587538,"WorkDay",17.6
218.903697038,"WorkDay",19.2
217.970766998,"WorkDay",18.3
189.681557562,"Other",20.5
189.352187122,"Other",19.2
186.17611612,"Other",17.2
222.725282768,"WorkDay",21.3
226.893987516,"WorkDay",22.3
227.838250562,"WorkDay",17.6
234.15135243,"WorkDay",15.6
234.875479598,"WorkDay",13.9
205.593756248,"Other",17
203.667041488,"Other",13.7
237.88574823,"WorkDay",16.4
240.61531435,"WorkDay",16
240.363389046,"WorkDay",16.2
241.350194426,"WorkDay",18.4
236.749702332,"WorkDay",18.3
206.34550193,"Other",16.3
192.715953152,"Other",19.7
229.354390942,"WorkDay",19.9
230.016404656,"WorkDay",20.1
224.46371096,"WorkDay",20.2
216.959205084,"WorkDay",22.4
212.630536434,"WorkDay",22.8
188.999065818,"Other",20
181.507468084,"Other",21.4
217.062319264,"WorkDay",22.8
