ring	ID	xcoor	ycoor	spec	dbh	1998	1999	2000
1	11003	0.71	0.53	pita	19.4	0	0	0
1	11004	1.26	2.36	pita	14.1	0	0	4
1	11011	1.44	6.16	pita	19.4	0	6	0
1	11013	3.56	5.84	pita	21.6	0	0	0
1	11017	3.75	8.08	pita	10.8	0	0	0
1	11022	2.69	9.16	pita	19.8	0	0	0
1	11027	5.06	8.86	pita	6.1	0	0	0
1	11037	5.47	10.11	pita	15.5	0	0	0
1	11039	6.26	11.79	pita	16.1	0	0	0
1	11040	5.25	12.15	pita	5.8	0	0	0
1	11043	4.86	10.89	pita	7.3	0	0	0
1	11046	5	14.12	pita	17.3	0	0	0
1	11048	3.12	14.54	pita	7.7	0	0	0
1	11049	2.86	13.16	pita	18.6	0	4	2
1	11060	0.68	11.66	pita	8	0	0	0
1	12004	2.96	1.22	pita	10.8	0	0	0
1	12007	6.13	1.16	pita	14	0	0	2
1	12008	8.13	0.97	pita	19	0	2	8
1	12014	7.82	5.88	pita	3.4	0	0	0
1	12021	10.23	9.62	pita	16.3	0	0	0
1	12031	11.62	3.71	pita	15.6	0	0	0
1	12042	9.11	2.36	pita	4.4	0	0	0
1	12044	11.38	1.69	pita	16.5	0	0	3
1	12049	14.24	2.7	pita	16.2	0	0	8
1	13003	14.17	0.09	pita	21.6	0	3	1
1	13006	11.36	-1.84	pita	18.8	0	0	0
1	13008	13.73	-2.86	pita	19.1	0	0	3
1	13011	11.19	-3.68	pita	15.5	0	0	0
1	13017	11.23	-9.1	pita	9.3	0	0	0
1	13022	9.11	-7.86	pita	6	0	0	0
1	13024	9.67	-6.11	pita	11.7	0	0	0
1	13025	8.9	-6.31	pita	24.3	0	12	15
1	13029	8.2	-1.45	pita	21.5	0	10	12
1	13032	5.3	-4.04	pita	3.5	0	0	0
1	13033	4.47	-3.17	pita	3	0	0	0
1	13034	3.68	-1.03	pita	14.2	0	0	0
1	13036	3.14	-1	pita	10.2	0	0	0
1	13037	1.18	-1.26	pita	12.2	0	0	0
1	14003	0.7	-1.45	pita	9.3	0	0	0
1	14004	0.56	-3	pita	15.4	0	0	0
1	14006	0.61	-4.64	pita	19.8	0	0	0
1	14007	1.5	-4.04	pita	11.3	0	0	0
1	14013	5.76	-6.45	pita	21.4	0	0	0
1	14017	6.18	-8.14	pita	18.9	0	0	0
1	14025	1.22	-9.16	pita	12.7	0	0	0
1	14036	5.88	-10.28	pita	21.1	0	2	15
1	14039	8.16	-8.64	pita	22.3	0	0	0
1	14040	7.99	-10.08	pita	12.7	0	0	0
1	14043	7.88	-12.57	pita	6.7	0	0	0
1	14048	5.76	-12.72	pita	13.1	0	0	0
1	14055	0.9	-12.9	pita	15.3	0	0	0
1	14056	0.88	-14.05	pita	19.5	0	0	4
1	15005	-1.33	-13.82	pita	19.4	0	0	0
1	15009	-3.39	-14.29	pita	12.6	0	0	0
1	15012	-5.79	-14.52	pita	17.7	0	4	0
1	15014	-6.69	-13.46	pita	15.8	0	0	0
1	15015	-7.97	-13.51	pita	20.3	0	0	0
1	15016	-8.47	-12.91	pita	4.3	0	0	0
