year,title,imdb_rating,imdb_rating_0_1,num_imdb_ratings,mpaa_rating,run_time_min,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013
2013,21 & Over,5.9,0.5900000000000001,64520,R,93,13000000,25682380,42195766,13000000,25682380,42195766
2012,Dredd 3D,7.1,0.71,217487,R,95,45000000,13414714,40868994,45658735,13611086,41467257
2013,12 Years a Slave,8.1,0.8099999999999999,501013,R,134,20000000,53107035,158607035,20000000,53107035,158607035
2013,2 Guns,6.7,0.67,168308,R,109,61000000,75612460,132493015,61000000,75612460,132493015
2013,42,7.5,0.75,70755,PG-13,128,40000000,95020213,95020213,40000000,95020213,95020213
2013,47 Ronin,6.3,0.63,125401,PG-13,128,225000000,38362475,145803842,225000000,38362475,145803842
2013,A Good Day to Die Hard,5.3,0.53,175360,R,98,92000000,67349198,304249198,92000000,67349198,304249198
2013,About Time,7.8,0.78,227378,R,123,12000000,15323921,87324746,12000000,15323921,87324746
2013,Admission,5.7,0.5700000000000001,29984,PG-13,107,13000000,18007317,18007317,13000000,18007317,18007317
2013,After Earth,4.9,0.49000000000000005,168942,PG-13,100,130000000,60522097,244373198,130000000,60522097,244373198
2013,American Hustle,7.3,0.73,385195,R,138,40000000,148430908,249484909,40000000,148430908,249484909
2013,August: Osage County,7.2,0.72,73194,R,121,25000000,37304874,50304874,25000000,37304874,50304874
2013,Beautiful Creatures,6.2,0.62,73293,PG-13,124,50000000,19452138,55940671,50000000,19452138,55940671
2013,Blue Jasmine,7.3,0.73,163628,PG-13,98,18000000,33345833,68447831,18000000,33345833,68447831
2013,Captain Phillips,7.8,0.78,353079,PG-13,134,55000000,107136417,218743570,55000000,107136417,218743570
2013,Carrie,5.9,0.5900000000000001,115334,R,100,30000000,35266619,85001659,30000000,35266619,85001659
2013,Cloudy with a Chance of Meatballs 2,6.4,0.64,71313,PG,95,78000000,119640264,271725448,78000000,119640264,271725448
2013,Despicable Me 2,7.4,0.74,312736,PG,98,76000000,368065385,970766005,76000000,368065385,970766005
2013,Don Jon,6.6,0.6599999999999999,202927,R,90,5500000,24477704,26377704,5500000,24477704,26377704
2013,Elysium,6.6,0.6599999999999999,365559,R,109,120000000,93050117,286192091,120000000,93050117,286192091
2013,Ender's Game,6.7,0.67,197080,PG-13,114,110000000,61737191,89737191,110000000,61737191,89737191
2013,Epic,6.7,0.67,90348,PG,102,100000000,107518682,268418682,100000000,107518682,268418682
2013,Escape from Planet Earth,6,0.6,21844,PG,89,40000000,57012977,66454811,40000000,57012977,66454811
2013,Escape Plan,6.7,0.67,191741,R,115,70000000,25213103,103813103,70000000,25213103,103813103
2013,Evil Dead,6.5,0.65,135477,R,91,17000000,54239856,97402049,17000000,54239856,97402049
2013,Fast and Furious 6,7.1,0.71,324015,PG-13,130,160000000,238679850,788128122,160000000,238679850,788128122
2013,Frozen,7.5,0.75,462260,PG,102,150000000,393050114,1004550114,150000000,393050114,1004550114
2013,G.I. Joe: Retaliation,5.8,0.58,154331,PG-13,110,140000000,122523060,371923060,140000000,122523060,371923060
2013,Gangster Squad,6.7,0.67,183723,R,113,60000000,46000903,104100903,60000000,46000903,104100903
2013,Gloria,6.7,0.67,6555,R,110,30000000,4167493,4967493,30000000,4167493,4967493
2013,Gravity,7.8,0.78,635518,PG-13,91,110000000,271814796,708714796,110000000,271814796,708714796
2013,Grown Ups 2,5.4,0.54,116982,PG-13,101,80000000,133668525,247023808,80000000,133668525,247023808
2013,Hansel & Gretel: Witch Hunters,6.1,0.61,170384,R,88,50000000,55703475,225703475,50000000,55703475,225703475
2013,Her,8,0.8,402499,R,126,23000000,25000178,33029713,23000000,25000178,33029713
2013,Identity Thief,5.7,0.5700000000000001,104690,R,111,35000000,134506920,176269721,35000000,134506920,176269721
2013,Insidious: Chapter 2,6.6,0.6599999999999999,122511,PG-13,106,5000000,83586447,161911222,5000000,83586447,161911222
2013,Iron Man 3,7.2,0.72,603282,PG-13,130,200000000,408992272,1212692272,200000000,408992272,1212692272
2013,Jack the Giant Slayer,6.3,0.63,113474,PG-13,114,195000000,65187603,197387603,195000000,65187603,197387603
2013,Kick-Ass 2,6.6,0.6599999999999999,219051,R,103,28000000,28795985,60839197,28000000,28795985,60839197
2013,Last Vegas,6.6,0.6599999999999999,113790,PG-13,105,28000000,63914167,112914167,28000000,63914167,112914167
2013,Lee Daniels' The Butler,7.2,0.72,94600,PG-13,132,30000000,116632095,151513429,30000000,116632095,151513429
2013,Machete Kills,5.6,0.5599999999999999,63842,R,107,2000000,8008161,9408161,2000000,8008161,9408161
2013,Mama,6.2,0.62,145620,PG-13,100,15000000,71628180,148041253,15000000,71628180,148041253
2013,Man of Steel,7.1,0.71,589105,PG-13,143,225000000,291045518,687999518,225000000,291045518,687999518
2013,Nebraska,7.7,0.77,97594,R,115,12000000,17482517,17482517,12000000,17482517,17482517
2013,Now You See Me,7.3,0.73,503261,PG-13,115,75000000,117723989,351723989,75000000,117723989,351723989
2013,Oblivion,7,0.7,417475,PG-13,124,120000000,89107235,287537983,120000000,89107235,287537983
2013,Olympus Has Fallen,6.5,0.65,218206,R,119,70000000,98927592,150562164,70000000,98927592,150562164
2013,Oz the Great and Powerful,6.3,0.63,183371,PG,130,200000000,234770996,489570996,200000000,234770996,489570996
2013,Pacific Rim,7,0.7,406490,PG-13,131,190000000,101802906,411002906,190000000,101802906,411002906
2013,Pain & Gain,6.5,0.65,171921,R,129,26000000,49875291,81275291,26000000,49875291,81275291
2013,Parker,6.2,0.62,97466,R,118,35000000,17616641,46346651,35000000,17616641,46346651
2013,Peeples,5.3,0.53,4235,PG-13,95,15000000,9177065,9177065,15000000,9177065,9177065
2013,Percy Jackson: Sea of Monsters,5.9,0.5900000000000001,93584,PG,106,90000000,68559554,200859554,90000000,68559554,200859554
