"","Score","Treatment"
"1",5,"Extrinsic"
"2",5.4,"Extrinsic"
"3",6.1,"Extrinsic"
"4",10.9,"Extrinsic"
"5",11.8,"Extrinsic"
"6",12,"Extrinsic"
"7",12.3,"Extrinsic"
"8",14.8,"Extrinsic"
"9",15,"Extrinsic"
"10",16.8,"Extrinsic"
"11",17.2,"Extrinsic"
"12",17.2,"Extrinsic"
"13",17.4,"Extrinsic"
"14",17.5,"Extrinsic"
"15",18.5,"Extrinsic"
"16",18.7,"Extrinsic"
"17",18.7,"Extrinsic"
"18",19.2,"Extrinsic"
"19",19.5,"Extrinsic"
"20",20.7,"Extrinsic"
"21",21.2,"Extrinsic"
"22",22.1,"Extrinsic"
"23",24,"Extrinsic"
"24",12,"Intrinsic"
"25",12,"Intrinsic"
"26",12.9,"Intrinsic"
"27",13.6,"Intrinsic"
"28",16.6,"Intrinsic"
"29",17.2,"Intrinsic"
"30",17.5,"Intrinsic"
"31",18.2,"Intrinsic"
"32",19.1,"Intrinsic"
"33",19.3,"Intrinsic"
"34",19.8,"Intrinsic"
"35",20.3,"Intrinsic"
"36",20.5,"Intrinsic"
"37",20.6,"Intrinsic"
"38",21.3,"Intrinsic"
"39",21.6,"Intrinsic"
"40",22.1,"Intrinsic"
"41",22.2,"Intrinsic"
"42",22.6,"Intrinsic"
"43",23.1,"Intrinsic"
"44",24,"Intrinsic"
"45",24.3,"Intrinsic"
"46",26.7,"Intrinsic"
"47",29.7,"Intrinsic"
