"State","Representative","Party","Pro05","Anti05","Pro06","Anti06","Pro07","Anti07","PctPro"
"Alabama","Bonner","R",2,16,3,9,2,18,14
"Alabama","Everett","R",0,18,1,11,2,18,6
"Alabama","Rogers","R",1,17,2,10,3,17,12
"Alabama","Aderholt","R",0,18,0,12,2,18,4
"Alabama","Cramer","D",5,13,4,7,14,6,46.94
"Alabama","Bachus","R",0,18,1,11,1,19,4
"Alabama","Davis","D",10,8,6,6,16,4,64
"Alaska","Young","R",0,18,0,12,2,18,4
"Arizona","Renzi","R",0,18,1,11,2,18,6
"Arizona","Franks","R",1,17,0,9,1,19,4.26
"Arizona","Shadegg","R",1,17,0,9,1,19,4.26
"Arizona","Pastor","D",17,1,11,1,18,2,92
"Arizona","Hayworth","R",1,17,0,9,NA,NA,3.7
"Arizona","Mitchell","D",NA,NA,NA,NA,20,0,100
"Arizona","Flake","R",3,14,1,7,3,17,15.56
"Arizona","Grijalva","D",17,1,12,0,18,2,94
"Arizona","Kolbe","R",1,16,0,9,NA,NA,3.85
"Arizona","Giffords","D",NA,NA,NA,NA,19,1,95
"Arkansas","Berry","D",8,10,3,9,14,6,50
"Arkansas","Snyder","D",14,4,11,0,17,3,85.71
"Arkansas","Boozman","R",0,18,1,11,2,18,6
"Arkansas","Ross","D",9,9,3,9,12,8,48
"California","Thompson","D",17,1,11,1,18,2,92
"California","Herger","R",0,18,0,12,0,20,0
"California","Lungren","R",0,18,1,11,1,19,4
"California","Doolittle","R",0,18,0,12,1,19,2
"California","Matsui","D",16,1,12,0,19,1,95.92
"California","Woolsey","D",18,0,12,0,19,1,98
"California","Miller","D",18,0,12,0,19,1,98
"California","Pelosi","D",17,0,12,0,NA,NA,100
"California","Lee","D",16,1,12,0,19,1,95.92
"California","Tauscher","D",17,1,12,0,20,0,98
"California","Pombo","R",1,17,2,9,NA,NA,10.34
"California","McNerney","D",NA,NA,NA,NA,18,2,90
"California","Lantos","D",17,1,11,0,16,4,89.8
"California","Stark","D",18,0,12,0,20,0,100
"California","Eshoo","D",17,0,12,0,18,2,95.92
"California","Honda","D",17,0,12,0,18,2,95.92
"California","Lofgren","D",18,0,11,0,20,0,100
"California","Farr","D",18,0,12,0,18,2,96
"California","Cardoza","D",11,7,7,5,13,7,62
"California","Radanovich","R",1,16,0,11,0,20,2.08
"California","Costa","D",11,7,5,6,15,5,63.27
"California","Nunes","R",0,18,0,12,0,20,0
"California","Thomas, W.","R",0,18,1,11,NA,NA,3.33
"California","McCarthy, K.",NA,NA,NA,NA,NA,0,20,0
"California","Capps","D",17,0,12,0,19,1,97.96
"California","Gallegly","R",1,16,1,11,3,17,10.2
"California","McKeon","R",1,17,1,11,2,18,8
"California","Dreier","R",1,17,2,10,3,17,12
"California","Sherman","D",18,0,12,0,19,1,98
"California","Berman","D",17,1,12,0,17,3,92
"California","Schiff","D",17,1,12,0,19,1,96
"California","Waxman","D",18,0,12,0,19,1,98
"California","Becerra","D",17,1,12,0,17,3,92
"California","Solis","D",17,1,12,0,19,1,96
"California","Watson","D",18,0,12,0,18,2,96
"California","Roybal-Allard","D",16,1,12,0,17,3,91.84
"California","Waters","D",17,1,12,0,20,0,98
"California","Harman","D",14,1,12,0,18,2,93.62
"California","Millender-McDonald","D",17,0,11,1,1,2,90.63
"California","Richardson","D",NA,NA,NA,NA,3,0,100
"California","Napolitano","D",16,2,12,0,18,2,92
"California","Sanchez, Linda","D",17,1,12,0,19,1,96
"California","Royce","R",4,13,2,10,3,17,18.37
"California","Lewis, Jerry","R",1,17,0,12,3,17,8
"California","Miller, Gary","R",0,17,0,12,1,19,2.04
"California","Baca","D",10,7,9,3,17,3,73.47
"California","Calvert","R",2,16,1,11,0,20,6
"California","Bono","R",2,16,3,8,6,14,22.45
"California","Rohrabacher","R",3,15,2,10,2,18,14
"California","Sanchez, Loretta","D",17,0,12,0,18,2,95.92
"California","Cox","R",1,13,NA,NA,NA,NA,7.14
"California","Campbell","R",0,1,3,9,4,16,21.21
"California","Issa","R",1,17,0,12,0,20,2
"California","Bilbray","R",NA,NA,0,1,5,15,23.81
"California","Cunningham","R",1,14,NA,NA,NA,NA,6.67
"California","Filner","D",16,1,11,0,18,2,93.75
"California","Hunter","R",1,17,0,12,1,19,4
"California","Davis","D",18,0,11,0,19,1,97.96
"Colorado","DeGette","D",18,0,12,0,19,1,98
"Colorado","Udall, M.","D",18,0,12,0,19,1,98
"Colorado","Salazar, J.","D",14,4,7,4,14,6,71.43
"Colorado","Musgrave","R",0,18,1,6,1,19,4.44
"Colorado","Hefley","R",1,16,0,12,NA,NA,3.45
"Colorado","Lamborn","R",NA,NA,NA,NA,1,19,5
"Colorado","Tancredo","R",2,15,1,10,2,18,10.42
"Colorado","Beauprez","R",0,17,1,11,NA,NA,3.45
"Colorado","Perlmutter","D",NA,NA,NA,NA,18,2,90
"Colorado","Larson, J.","D",16,1,4,0,18,2,92.68
"Colorado","Simmons","R",11,7,10,2,NA,NA,70
"Colorado","Courtney","D",NA,NA,NA,NA,19,1,95
"Colorado","DeLauro","D",18,0,12,0,17,3,94
"Colorado","Shays","R",14,2,11,1,20,0,93.75
"Colorado","Johnson, N.","R",10,8,10,2,NA,NA,66.67
"Colorado","Murphy, Chris","D",NA,NA,NA,NA,20,0,100
"Delaware","Castle","R",12,5,10,2,19,1,83.67
"Florida","Miller, J.","R",3,15,1,11,2,18,12
"Florida","Boyd","D",14,4,4,8,13,7,62
