"Species","BodyMass","MaxDist","Type"
"Didelphis virginianus",2.415,5.15,"O"
"Phascogale tapotafa",0.172,6.8,"C"
"Trichosurus vulpecula",2.93,12.8,"C"
"Sorex araneus",0.004,0.87,"C"
"Scapanus townsendii",0.148,0.86,"O"
"Ursus americanus",104.45,225,"O"
"Ursus arctos",331,134,"O"
"Procyon lotor",7.8,265.5,"O"
"Martes americana",1.04,61,"C"
"Martes pennanti",2.9,23,"C"
"Mustela erminea",0.067,5.6,"C"
"Mustela vison",1.169,45.1,"C"
"Lutra canadensis",9.07,42,"C"
"Gulo gulo",14.4,300,"C"
"Taxidea taxus",6.975,110,"C"
"Meles meles",10.85,8.3,"O"
"Mephitis mephitis",2.909,8.3,"O"
"Canis latrans",14.06,232.2,"C"
"Canis lupus",41.38,432,"C"
"Vulpes vulpes",5.2,394,"C"
"Urocyon cinereoargenteus",4,83.68,"C"
"Felis concolor",53.05,274,"C"
"Lynx lynx",10.149,9.7,"C"
"Lynx rufus",8.9,182,"C"
"Castor canadensis",24.3,40.6,"H"
"Marmota flaviventris",5.448,1.4,"H"
"Marmota monax",3.499,0.77,"H"
"Spermophilus richardsonii",0.405,0.98,"H"
"Spermophilus beecheyi",0.475,1.44,"H"
"Spermophilus beldingi",0.4,0.33,"H"
"Spermophilus leucopus",0.192,0.52,"H"
"Spermophilus tridecemliniatus",0.14,0.24,"H"
"Sciurus niger",0.79,3.37,"H"
"Tamiasciurus hudsonicus",0.202,0.6,"H"
"Thomomys bottae",0.15,0.3,"C"
"Perognathus formosa",0.023,0.85,"H"
"Dipodomys merriami",0.043,0.25,"H"
"Dipodomys microps",0.065,0.43,"H"
"Dipodomys spectabilis",0.115,2,"H"
"Neotoma cinerea",0.36,2.2,"H"
"Clethrionomys glareolus",0.023,0.4,"H"
"Onychomys torridus",26.8,0.33,"H"
"Microtus agrestis",0.023,0.19,"H"
"Microtus arvalis",0.022,0.2,"H"
"Microtus ochrogaster",0.031,0.14,"H"
"Microtus oeconomus",0.032,1,"H"
"Microtus pennsylvanicus",0.04,0.25,"H"
"Microtus townsendi",0.032,0.07,"H"
"Microtus xanthognathus",135,0.3,"H"
"Peromyscus californicus",0.018,0.79,"H"
"Peromyscus longicaudus",0.008,0.24,"H"
"Peromyscus maniculatus",0.015,1.01,"O"
"Apodemus sylvaticus",0.02,0.5,"H"
"Ondatra zibethicus",1.048,3.37,"H"
"Lepus americanus",1.43,20.1,"H"
"Lepus europea",4.5,9,"H"
"Lepus timidus",2.75,200,"H"
"Lepus californicus",2.2,45,"H"
"Sylvilagus bachmani",0.841,0.35,"H"
"Sylvilagus floridanus",1.15,3.9,"H"
"Odocoileus hemionus columbianus",64.638,15.2,"H"
"Odocoileus hemionus hemionus",67.125,8.22,"H"
"Alces alces",481.83,118,"H"
"Cervus canadensis",270,18.5,"H"
